src,dst
"c1","e41"
"c1","e50"
"c1","e51"
"c1","e58"
"c1","e8"
"c1","e65"
"c1","e5"
"c1","e3"
"c1","e68"
"c2","e11"
"c2","e60"
"c2","e8"
"c2","e7"
"c2","e63"
"c2","e5"
"c2","e68"
"c2","e2"
"c3","e67"
"c3","e1"
"c4","e2"
"c4","e1"
"c5","e66"
"c5","e1"
"c6","e41"
"c6","e50"
"c6","e51"
"c6","e58"
"c6","e8"
"c6","e65"
"c6","e5"
"c6","e3"
"c6","e68"
"c7","e1"
"c8","e56"
"c8","e12"
"c8","e9"
"c8","e67"
"c8","e3"
"c9","e11"
"c9","e60"
"c9","e8"
"c9","e7"
"c9","e63"
"c9","e5"
"c9","e68"
"c9","e2"
"c10","e8"
"c10","e7"
"c10","e5"
"c10","e3"
"c10","e68"
"c10","e2"
"c11","e6"
"c11","e63"
"c11","e5"
"c11","e4"
"c11","e68"
"c11","e2"
"c12","e67"
"c12","e1"
"c13","e2"
"c13","e1"
"c14","e66"
"c14","e1"
"c15","e51"
"c15","e58"
"c15","e13"
"c15","e8"
"c15","e65"
"c15","e66"
"c15","e5"
"c15","e3"
"c15","e68"
"c16","e23"
"c16","e27"
"c16","e29"
"c16","e32"
"c16","e36"
"c16","e41"
"c16","e43"
"c16","e50"
"c16","e51"
"c16","e58"
"c16","e8"
"c16","e65"
"c16","e5"
"c16","e68"
"c17","e2"
"c17","e1"
"c18","e50"
"c18","e58"
"c18","e12"
"c18","e8"
"c18","e65"
"c18","e67"
"c18","e5"
"c18","e3"
"c18","e68"
"c19","e68"
"c19","e2"
"c19","e1"
"e1","c20"
"c20","e46"
"c20","e16"
"c20","e56"
"c20","e12"
"c20","e59"
"c20","e9"
"c20","e61"
"c20","e62"
"e1","c21"
"c21","e9"
"c21","e6"
"c21","e62"
"c21","e4"
"e1","c22"
"c22","e18"
"c22","e15"
"c22","e14"
"c22","e13"
"c22","e59"
"c22","e60"
"c22","e10"
"c22","e61"
"c22","e62"
"c22","e63"
"c22","e64"
"e1","c23"
"c23","e4"
"c23","e3"
"e1","c24"
"c24","e11"
"c24","e59"
"c24","e60"
"c24","e8"
"c24","e7"
"c24","e61"
"c24","e62"
"c24","e63"
"c24","e5"
"e1","c25"
"c25","e46"
"c25","e16"
"c25","e56"
"c25","e12"
"c25","e59"
"c25","e9"
"c25","e61"
"c25","e62"
"e1","c26"
"c26","e49"
"c26","e56"
"c26","e57"
"c26","e11"
"c26","e59"
"c26","e9"
"c26","e7"
"c26","e61"
"c26","e62"
"e1","c27"
"c27","e19"
"c27","e38"
"c27","e46"
"c27","e47"
"c27","e14"
"c27","e13"
"c27","e59"
"c27","e10"
"c27","e61"
"c27","e62"
"c27","e64"
"e1","c28"
"c28","e6"
"c28","e62"
"c28","e4"
"e2","c29"
"c29","e67"
"e2","c30"
"c30","e65"
"c30","e66"
"e2","c31"
"c31","e65"
"c31","e67"
"e2","c32"
"e2","c33"
"c33","e65"
"e2","c34"
"c34","e65"
"e2","c35"
"c35","e67"
"e2","c36"
"c36","e65"
"e68","c37"
"e68","c38"
"e68","c39"
"e68","c40"
"e68","c41"
"e68","c42"
"e68","c43"
"e68","c44"
"e68","c45"
"e68","c46"
"e3","c47"
"c47","e16"
"e3","c48"
"c48","e23"
"c48","e26"
"c48","e27"
"c48","e29"
"c48","e32"
"c48","e33"
"c48","e35"
"c48","e36"
"c48","e38"
"c48","e43"
"c48","e47"
"c48","e64"
"e3","c49"
"c49","e43"
"c49","e18"
"c49","e15"
"c49","e60"
"c49","e63"
"e3","c50"
"c50","e6"
"c50","e62"
"e3","c51"
"c51","e11"
"c51","e60"
"c51","e63"
"e3","c52"
"c52","e23"
"c52","e27"
"c52","e29"
"c52","e32"
"c52","e33"
"c52","e36"
"c52","e43"
"e3","c53"
"c53","e16"
"e4","c54"
"c54","e8"
"c54","e7"
"e4","c55"
"c55","e49"
"c55","e56"
"c55","e57"
"c55","e7"
"c55","e61"
"e4","c56"
"c56","e49"
"c56","e57"
"c56","e7"
"c56","e61"
"e4","c57"
"c57","e61"
"e5","c58"
"c58","e55"
"c58","e10"
"e5","c59"
"c59","e17"
"c59","e54"
"c59","e55"
"e5","c60"
"c60","e54"
"c60","e9"
"e5","c61"
"c61","e55"
"c61","e10"
"e5","c62"
"c62","e54"
"c62","e9"
"e5","c63"
"c63","e17"
"c63","e54"
"c63","e55"
"e5","c64"
"c64","e17"
"c64","e54"
"c64","e55"
"e5","c65"
"c65","e17"
"c65","e54"
"c65","e55"
"e5","c66"
"c66","e17"
"c66","e54"
"c66","e55"
"e5","c67"
"c67","e17"
"c67","e54"
"c67","e55"
"e67","c68"
"e67","c69"
"e67","c70"
"e67","c71"
"e67","c72"
"e67","c73"
"e67","c74"
"e66","c75"
"e66","c76"
"e66","c77"
"e66","c78"
"e65","c79"
"e65","c80"
"e65","c81"
"e65","c82"
"e65","c83"
"e65","c84"
"e65","c85"
"e65","c86"
"e65","c87"
"e65","c88"
"e64","c89"
"e64","c90"
"e64","c91"
"e63","c92"
"e63","c93"
"e63","c94"
"e63","c95"
"e63","c96"
"e63","c97"
"e63","c98"
"e62","c99"
"e62","c100"
"e62","c101"
"e62","c102"
"e62","c103"
"e62","c104"
"e62","c105"
"e62","c106"
"e62","c107"
"e61","c108"
"e61","c109"
"e61","c110"
"e61","c111"
"e61","c112"
"e61","c113"
"e61","c114"
"e61","c115"
"e61","c116"
"e6","c117"
"c117","e11"
"c117","e60"
"e6","c118"
"c118","e11"
"c118","e59"
"e6","c119"
"c119","e11"
"c119","e59"
"e6","c120"
"c120","e19"
"c120","e46"
"c120","e59"
"e7","c121"
"c121","e52"
"c121","e12"
"e7","c122"
"c122","e51"
"c122","e53"
"c122","e58"
"c122","e13"
"e7","c123"
"c123","e50"
"c123","e52"
"c123","e58"
"c123","e12"
"e7","c124"
"c124","e42"
"c124","e52"
"c124","e53"
"e7","c125"
"c125","e41"
"c125","e42"
"c125","e50"
"c125","e51"
"c125","e52"
"c125","e53"
"c125","e58"
"e7","c126"
"c126","e41"
"c126","e42"
"c126","e50"
"c126","e51"
"c126","e52"
"c126","e53"
"c126","e58"
"e7","c127"
"c127","e52"
"c127","e12"
"e7","c128"
"c128","e41"
"c128","e42"
"c128","e50"
"c128","e51"
"c128","e52"
"c128","e53"
"c128","e58"
"e8","c129"
"c129","e14"
"e8","c130"
"c130","e48"
"e8","c131"
"c131","e48"
"c131","e56"
"e8","c132"
"c132","e14"
"c132","e57"
"e8","c133"
"c133","e48"
"c133","e49"
"c133","e56"
"c133","e57"
"e8","c134"
"c134","e48"
"e8","c135"
"c135","e48"
"c135","e49"
"c135","e57"
"e8","c136"
"c136","e48"
"c136","e49"
"c136","e57"
"e8","c137"
"c137","e48"
"e8","c138"
"c138","e48"
"c138","e49"
"c138","e57"
"e9","c139"
"c139","e40"
"e9","c140"
"c140","e40"
"e9","c141"
"c141","e17"
"c141","e55"
"e9","c142"
"c142","e17"
"c142","e55"
"e9","c143"
"c143","e40"
"e9","c144"
"c144","e40"
"e9","c145"
"c145","e40"
"e10","c146"
"c146","e17"
"c146","e54"
"e10","c147"
"c147","e39"
"e10","c148"
"c148","e17"
"c148","e54"
"e10","c149"
"c149","e39"
"e60","c150"
"e60","c151"
"e60","c152"
"e60","c153"
"e60","c154"
"e60","c155"
"e60","c156"
"e59","c157"
"e59","c158"
"e59","c159"
"e59","c160"
"e59","c161"
"e59","c162"
"e59","c163"
"e59","c164"
"e59","c165"
"e11","c166"
"c166","e45"
"c166","e46"
"c166","e16"
"e11","c167"
"c167","e43"
"c167","e44"
"c167","e18"
"c167","e15"
"e11","c168"
"c168","e16"
"c168","e15"
"e11","c169"
"c169","e37"
"c169","e19"
"c169","e44"
"c169","e45"
"c169","e46"
"e11","c170"
"c170","e43"
"c170","e44"
"c170","e18"
"c170","e15"
"e11","c171"
"c171","e43"
"c171","e44"
"c171","e18"
"c171","e15"
"e11","c172"
"c172","e45"
"c172","e46"
"c172","e16"
"e11","c173"
"c173","e43"
"c173","e44"
"c173","e18"
"c173","e15"
"e12","c174"
"e12","c175"
"c175","e42"
"c175","e53"
"e12","c176"
"c176","e41"
"c176","e51"
"e12","c177"
"c177","e41"
"c177","e42"
"c177","e51"
"c177","e53"
"e12","c178"
"e12","c179"
"c179","e42"
"c179","e53"
"e12","c180"
"e13","c181"
"c181","e41"
"c181","e42"
"c181","e50"
"c181","e52"
"e13","c182"
"e13","c183"
"c183","e41"
"c183","e50"
"e13","c184"
"e58","c185"
"e58","c186"
"e58","c187"
"e58","c188"
"e58","c189"
"e58","c190"
"e58","c191"
"e58","c192"
"e58","c193"
"e58","c194"
"e57","c195"
"e57","c196"
"e57","c197"
"e57","c198"
"e57","c199"
"e57","c200"
"e57","c201"
"e57","c202"
"e56","c203"
"e56","c204"
"e56","c205"
"e56","c206"
"e56","c207"
"e56","c208"
"e56","c209"
"e14","c210"
"c210","e48"
"c210","e49"
"e14","c211"
"e14","c212"
"c212","e48"
"e14","c213"
"e55","c214"
"e55","c215"
"e55","c216"
"e55","c217"
"e55","c218"
"e55","c219"
"e55","c220"
"e55","c221"
"e55","c222"
"e55","c223"
"e54","c224"
"e54","c225"
"e54","c226"
"e54","c227"
"e54","c228"
"e54","c229"
"e54","c230"
"e54","c231"
"e54","c232"
"e54","c233"
"e15","c234"
"c234","e45"
"e15","c235"
"c235","e45"
"e15","c236"
"c236","e45"
"c236","e46"
"e15","c237"
"c237","e46"
"c237","e47"
"e15","c238"
"e15","c239"
"c239","e45"
"e15","c240"
"c240","e45"
"e16","c241"
"c241","e19"
"e16","c242"
"c242","e37"
"c242","e19"
"c242","e44"
"e16","c243"
"c243","e23"
"c243","e27"
"c243","e28"
"c243","e29"
"c243","e32"
"c243","e33"
"c243","e36"
"c243","e43"
"e16","c244"
"c244","e43"
"c244","e44"
"c244","e18"
"e16","c245"
"c245","e19"
"e16","c246"
"c246","e37"
"c246","e19"
"c246","e44"
"e16","c247"
"c247","e28"
"c247","e33"
"e53","c248"
"e53","c249"
"e53","c250"
"e53","c251"
"e53","c252"
"e53","c253"
"e53","c254"
"e53","c255"
"e52","c256"
"e52","c257"
"e52","c258"
"e52","c259"
"e52","c260"
"e52","c261"
"e52","c262"
"e52","c263"
"e51","c264"
"e51","c265"
"e51","c266"
"e51","c267"
"e51","c268"
"e51","c269"
"e51","c270"
"e51","c271"
"e51","c272"
"e51","c273"
"e50","c274"
"e50","c275"
"e50","c276"
"e50","c277"
"e50","c278"
"e50","c279"
"e50","c280"
"e50","c281"
"e50","c282"
"e50","c283"
"e49","c284"
"e49","c285"
"e49","c286"
"e49","c287"
"e49","c288"
"e49","c289"
"e49","c290"
"e49","c291"
"e48","c292"
"e48","c293"
"e48","c294"
"e48","c295"
"e48","c296"
"e48","c297"
"e48","c298"
"e48","c299"
"e48","c300"
"e48","c301"
"e17","c302"
"c302","e39"
"e17","c303"
"e17","c304"
"c304","e40"
"e17","c305"
"c305","e39"
"e17","c306"
"c306","e40"
"e17","c307"
"e17","c308"
"e17","c309"
"e17","c310"
"e17","c311"
"e47","c312"
"e47","c313"
"e47","c314"
"e46","c315"
"e46","c316"
"e46","c317"
"e46","c318"
"e46","c319"
"e46","c320"
"e46","c321"
"e46","c322"
"e46","c323"
"e45","c324"
"e45","c325"
"e45","c326"
"e45","c327"
"e45","c328"
"e45","c329"
"e45","c330"
"e45","c331"
"e18","c332"
"c332","e29"
"c332","e21"
"c332","e31"
"c332","e32"
"c332","e33"
"c332","e34"
"c332","e36"
"c332","e37"
"e18","c333"
"c333","e32"
"c333","e20"
"c333","e34"
"c333","e36"
"c333","e37"
"e18","c334"
"c334","e36"
"c334","e37"
"c334","e19"
"e18","c335"
"c335","e19"
"c335","e38"
"e18","c336"
"c336","e27"
"c336","e22"
"c336","e29"
"c336","e31"
"c336","e32"
"c336","e33"
"c336","e34"
"c336","e36"
"e18","c337"
"c337","e29"
"c337","e21"
"c337","e31"
"c337","e32"
"c337","e34"
"c337","e36"
"c337","e37"
"e18","c338"
"c338","e29"
"c338","e21"
"c338","e31"
"c338","e32"
"c338","e34"
"c338","e36"
"c338","e37"
"e44","c339"
"e44","c340"
"e44","c341"
"e44","c342"
"e44","c343"
"e44","c344"
"e44","c345"
"e44","c346"
"e43","c347"
"e43","c348"
"e43","c349"
"e43","c350"
"e43","c351"
"e43","c352"
"e43","c353"
"e43","c354"
"e43","c355"
"e43","c356"
"e42","c357"
"e42","c358"
"e42","c359"
"e42","c360"
"e42","c361"
"e42","c362"
"e42","c363"
"e42","c364"
"e41","c365"
"e41","c366"
"e41","c367"
"e41","c368"
"e41","c369"
"e41","c370"
"e41","c371"
"e41","c372"
"e41","c373"
"e41","c374"
"e40","c375"
"e40","c376"
"e40","c377"
"e40","c378"
"e40","c379"
"e40","c380"
"e40","c381"
"e39","c382"
"e39","c383"
"e39","c384"
"e39","c385"
"e38","c386"
"e38","c387"
"e38","c388"
"e19","c389"
"c389","e25"
"c389","e28"
"c389","e30"
"e19","c390"
"c390","e20"
"e19","c391"
"c391","e22"
"c391","e30"
"c391","e31"
"c391","e34"
"c391","e35"
"e19","c392"
"c392","e20"
"c392","e33"
"e19","c393"
"c393","e29"
"c393","e21"
"c393","e30"
"c393","e31"
"c393","e32"
"c393","e34"
"e19","c394"
"c394","e25"
"c394","e28"
"c394","e30"
"e19","c395"
"c395","e21"
"c395","e30"
"e19","c396"
"c396","e25"
"c396","e26"
"c396","e30"
"c396","e35"
"e19","c397"
"c397","e20"
"e37","c398"
"e37","c399"
"e37","c400"
"e37","c401"
"e37","c402"
"e37","c403"
"e37","c404"
"e37","c405"
"e36","c406"
"e36","c407"
"e36","c408"
"e36","c409"
"e36","c410"
"e36","c411"
"e36","c412"
"e36","c413"
"e36","c414"
"e36","c415"
"e35","c416"
"e35","c417"
"e35","c418"
"e34","c419"
"e34","c420"
"e34","c421"
"e34","c422"
"e34","c423"
"e34","c424"
"e34","c425"
"e33","c426"
"e33","c427"
"e33","c428"
"e33","c429"
"e33","c430"
"e33","c431"
"e33","c432"
"e20","c433"
"c433","e29"
"c433","e21"
"c433","e31"
"e20","c434"
"c434","e21"
"c434","e30"
"e20","c435"
"c435","e21"
"c435","e30"
"e20","c436"
"c436","e25"
"c436","e30"
"e32","c437"
"e32","c438"
"e32","c439"
"e32","c440"
"e32","c441"
"e32","c442"
"e32","c443"
"e32","c444"
"e32","c445"
"e32","c446"
"e31","c447"
"e31","c448"
"e31","c449"
"e31","c450"
"e31","c451"
"e31","c452"
"e31","c453"
"e30","c454"
"e30","c455"
"e30","c456"
"e30","c457"
"e30","c458"
"e30","c459"
"e30","c460"
"e30","c461"
"e30","c462"
"e21","c463"
"c463","e24"
"c463","e25"
"c463","e28"
"e21","c464"
"c464","e27"
"c464","e22"
"e21","c465"
"c465","e27"
"c465","e28"
"c465","e22"
"e21","c466"
"c466","e24"
"c466","e25"
"e21","c467"
"c467","e27"
"c467","e22"
"e21","c468"
"c468","e27"
"c468","e22"
"e21","c469"
"c469","e24"
"c469","e25"
"c469","e28"
"e21","c470"
"c470","e27"
"c470","e22"
"e29","c471"
"e29","c472"
"e29","c473"
"e29","c474"
"e29","c475"
"e29","c476"
"e29","c477"
"e29","c478"
"e29","c479"
"e29","c480"
"e22","c481"
"c481","e23"
"c481","e24"
"e22","c482"
"c482","e23"
"c482","e24"
"e22","c483"
"c483","e23"
"c483","e24"
"c483","e25"
"e22","c484"
"c484","e25"
"c484","e26"
"e22","c485"
"c485","e23"
"e22","c486"
"c486","e23"
"c486","e24"
"e22","c487"
"c487","e23"
"c487","e24"
"e28","c488"
"e28","c489"
"e28","c490"
"e28","c491"
"e28","c492"
"e28","c493"
"e28","c494"
"e27","c495"
"e27","c496"
"e27","c497"
"e27","c498"
"e27","c499"
"e27","c500"
"e27","c501"
"e27","c502"
"e27","c503"
"e27","c504"
"e26","c505"
"e26","c506"
"e26","c507"
"e25","c508"
"e25","c509"
"e25","c510"
"e25","c511"
"e25","c512"
"e25","c513"
"e25","c514"
"e25","c515"
"e25","c516"
"e24","c517"
"e24","c518"
"e24","c519"
"e24","c520"
"e24","c521"
"e24","c522"
"e24","c523"
"e24","c524"
"e23","c525"
"e23","c526"
"e23","c527"
"e23","c528"
"e23","c529"
"e23","c530"
"e23","c531"
"e23","c532"
"e23","c533"
"e23","c534"
